web-scraper-order,web-scraper-start-url,listinglinks,listinglinks-href,stocknumber,mileage,price,Dealer,Header,Dealerindetails,vin,Dealership Full Name
1623642189-24,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=95,"Save this listing2019 Toyota Corolla LEDescription: Used 2019 Toyota Corolla LE for sale63,501 km with Adaptive Cruise Control, Bluetooth, Backup Camera, Heated SeatsCertified Pre-Owned: NoTransmission: AutomaticColour: BlackNo Price Listed63,501 kmNO PRICE ANALYSISDealer4.8(5)Guru9YK6FGMar. 4, 2021Good. Got the photos to meGuru9YJ5H4Feb. 21, 2021Silvio and Paul are great guys.  They are looking for a vehicle for meCarGurus UserMar. 19, 2020Yes! He followed in a timely manner, but the vehicle was sold! Read 2 more dealer reviews...Kingston, ON (3 km)(613) 704-8365Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=302859077,UCP2559,"63,501 kilometres",null,Carloft Kingston,2019 Toyota Corolla LE,null,2T1BURHEXKC247116,Carloft Kingston
1623665271-1045,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=27,"Image Not AvailableSave this listing2018 Ford EcoSport SEDescription: Used 2018 Ford EcoSport SE for sale - $17,899 - 16,023 km with Sunroof/Moonroof, Bluetooth, Backup Camera, Parking Sensors, Heated Seats, Android Auto, CarPlayCertified Pre-Owned: NoTransmission: AutomaticColour: White$17,899$346/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $17,899 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.16,023 kmFAIR DEAL$344 BELOWDealer4.4(7)Guru9Z8RBSMar. 15, 2021Very helpful and knowledgeable. Thank for 
your help in guiding me to my next  vehicle. CarGurus UserJan. 17, 2020Quick response. Vehicle sold. GuruLQPN6Jul. 13, 2019 I did go and see the vehicle but was not able to negotiate a price I was comfortable with. Visited dealer today and they are doing a pre-safety inspection for me.Read 4 more dealer reviews...Kingston, ON (2 km)(855) 939-1150Request InformationAuthorized Ford Dealer",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=268520436,20Y157,"16,023 kilometres","$17,899 ",Petrie Ford,"2018 Ford EcoSport SE - $17,899",null,MAJ3P1TEXJC162892,Petrie Ford
1623674163-1367,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=5,"Save this listingNEW: Just added2014 Dodge Grand CaravanDescription: Used 2014 Dodge Grand Caravan for sale - $10,995 - 144,000 km with Third Row SeatingCertified Pre-Owned: NoTransmission: 6-Speed AutomaticColour: Black$10,995$213/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $10,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.144,000 kmFAIR DEAL$43 ABOVEDealer4.8(6)CarGurus UserSep. 1, 2020Yes the dealership got right back to me 
The salesperson Bradie was amazing and very efficient. Since I’m out of town he sent me all the photos and car spec information I asked for to view. 
Bradie has excellent communication skills and was outstanding providing excellent customer service. 
I high recommend this dealership. 
They went beyond customers satisfaction. 
Thank you Suzanne NanacoulmoonMay 14, 2020Quick to respond considering 
covid-19. CarGurus UserApr. 26, 2020Autohouse was awesome and I bought the car, 
very pleased with their service and great attitude!Read 3 more dealer reviews...Kingston, ON (3 km)(613) 706-3404Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=304926025,9918A,"144,000 kilometres","$10,995 ",AutoHouse Kingston,"2014 Dodge Grand Caravan - $10,995",null,2C4RDGBG4ER305660,AutoHouse Kingston
1623664869-1030,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=28,"Save this listing2017 Chevrolet Trax LT AWDDescription: Used 2017 Chevrolet Trax LT AWD for sale - $17,995 - 65,115 km with Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote StartCertified Pre-Owned: NoTransmission: AutomaticColour: RED HOT$17,995$348/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $17,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.65,115 kmFAIR DEAL$730 ABOVEDealer5(1)CarGurus UserMar. 17, 2020Really great dealership.  Very quick response to each email, and they answered each question.
They were very courteous.  I would recommend them to anyone looking for a new or used car.
Read all dealer reviews...Napanee, ON (33 km)(226) 702-2474Request InformationAuthorized Chevrolet Dealer",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=300735823,21-196A,"65,115 kilometres","$17,995 ",Boyer Chevrolet Buick GMC Napanee,"2017 Chevrolet Trax LT AWD - $17,995",null,3GNCJPSB3HL210065,Boyer Chevrolet Buick GMC Napanee
1623656019-670,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=52,"Save this listing2019 Hyundai Santa Fe 2.4L Essential AWDDescription: Used 2019 Hyundai Santa Fe 2.4L Essential AWD for sale - $24,995 - 70,925 km with Safety Package, Adaptive Cruise Control, SE Package, Alloy Wheels, Bluetooth, Backup Camera, Heated Seats, Android Auto, CarPlayCertified Pre-Owned: NoTransmission: AutomaticColour: Red$24,995$483/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $24,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.70,925 kmFAIR DEAL$23 BELOWDealer4.8(5)CarGurus UserDec. 10, 2020it wasn't Kingston but Napanee, but I had a great experience dealing with Paul and Silvio. 
they were very easy and pleasant to deal with. I am very happy with my RogueGuru27B1WApr. 10, 2020Excellent help with information. Prompt friendly.CarGurus UserMar. 19, 2020Yes! He followed in a timely manner, but the vehicle was sold! Read 2 more dealer reviews...Kingston, ON (3 km)(613) 704-8365Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=302859082,B7504,"70,925 kilometres","$24,995 ",Carloft Kingston,"2019 Hyundai Santa Fe 2.4L Essential AWD - $24,995",null,5NMS2CAD8KH064800,Carloft Kingston
1623643231-104,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=90,"Save this listing2020 Mercedes-Benz E-Class E 450 4MATIC AWDDescription: Used 2020 Mercedes-Benz E-Class E 450 4MATIC AWD for sale - $69,897 - 8,014 km with Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated SeatsCertified Pre-Owned: NoTransmission: AutomaticColour: Black$69,897$1,349/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $69,897 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.8,014 kmGOOD DEAL$2,678 BELOWDealer5(1)CarGurus UserDec. 17, 2020Nice dealership. Nice people. Good experience. I would recommend.Read all dealer reviews...Kingston, ON (5 km)Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=301273836,PL21046,"8,014 kilometres","$69,897 ",null,"2020 Mercedes-Benz E-Class E 450 4MATIC AWD - $69,897",Lexus of Kingston,W1KZF6JBXLA803394,Lexus of Kingston
1623662774-948,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=33,"Save this listing2018 Nissan LEAF SVDescription: Used 2018 Nissan LEAF SV for sale - $19,798 - 71,649 km with Navigation System, SE Package, Alloy Wheels, Security Package, Technology Package, Bluetooth, Backup Camera, Blind Spot Monitoring, Heat Package, Heated Seats, Cold Weather Package, CarPlayCertified Pre-Owned: NoTransmission: 1-Speed AutomaticColour: Blue$19,798$382/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $19,798 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.71,649 kmGREAT DEAL$3,297 BELOWDealer4.7(61)CarGurus UserJan. 30, 2021Great dealership! CarGurus UserJan. 29, 2021Answered my questions in a timely mannerCarGurus UserJan. 29, 2021Was going to pay cash for a truck.  They suggested financing, where I would get free snow tires, and could pay off the truck in six months.  
They forgot to tell me about the financing fee of $700.00.  That along with the $800.00 interest I would have paid for the financing for six 
months adds up to more than the tires were worth.  Left a very bad taste in my mouth.Read 58 more dealer reviews...Kingston, ON (3 km)(343) 307-0450Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=297056664,CT21-161,"71,649 kilometres","$19,798 ",Car One,"2018 Nissan LEAF SV - $19,798",null,1N4AZ1CP6JC312306,Car One
1623643854-130,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=88,"Save this listing2021 Jeep Grand Cherokee Trailhawk 4WDDescription: Used 2021 Jeep Grand Cherokee Trailhawk 4WD for sale - $61,995 - 11,401 km with Leather Seats, Navigation System, Alloy Wheels, Premium Wheels, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Android Auto, CarPlay, Multi Zone Climate ControlCertified Pre-Owned: NoTransmission: AutomaticColour: Bright White$61,995$1,196/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $61,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.11,401 kmHIGH PRICE$2,604 ABOVEDealer4.8(5)Guru9YJ5H4Feb. 21, 2021Silvio and Paul are great guys.  They are looking for a vehicle for meGuru27B1WApr. 10, 2020Excellent help with information. Prompt friendly.CarGurus UserMar. 19, 2020Yes! He followed in a timely manner, but the vehicle was sold! Read 2 more dealer reviews...Kingston, ON (3 km)(613) 704-8365Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=284477609,DP4141,"11,401 kilometres","$61,995 ",Carloft Kingston,"2021 Jeep Grand Cherokee Trailhawk 4WD - $61,995",null,1C4RJFLG1MC513715,Carloft Kingston
1623662022-918,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=35,"Save this listing2019 Hyundai Veloster Turbo FWDDescription: Used 2019 Hyundai Veloster Turbo FWD for sale - $19,995 - 53,506 km with Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated SeatsCertified Pre-Owned: NoTransmission: AutomaticColour: Red$19,995$386/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $19,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.53,506 kmFAIR DEAL$1 ABOVEDealer4.8(6)CarGurus UserNov. 15, 2020Joe was great -- contacted me by phone right away, and was v. helpful with information, 
both on the phone and later answering my questions via email.CarGurus UserSep. 1, 2020Yes the dealership got right back to me 
The salesperson Bradie was amazing and very efficient. Since I’m out of town he sent me all the photos and car spec information I asked for to view. 
Bradie has excellent communication skills and was outstanding providing excellent customer service. 
I high recommend this dealership. 
They went beyond customers satisfaction. 
Thank you Suzanne NanacoulmoonMay 14, 2020Quick to respond considering 
covid-19. Read 3 more dealer reviews...Kingston, ON (3 km)(613) 706-3404Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=299724387,9041,"53,506 kilometres","$19,995 ",AutoHouse Kingston,"2019 Hyundai Veloster Turbo FWD - $19,995",null,KMHTH6AB5KU010703,AutoHouse Kingston
1623674923-1393,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=4,"Save this listing2011 Ford Taurus SELDescription: Used 2011 Ford Taurus SEL for sale - $9,995 - 67,954 km with Bluetooth, Heated SeatsCertified Pre-Owned: NoTransmission: AutomaticColour: White$9,995$193/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $9,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.67,954 kmGOOD DEAL$1,110 BELOWDealer4.4(7)GuruLY4P7Jan. 19, 2021GreatCarGurus UserJan. 17, 2020Quick response. Vehicle sold. CarGurus UserDec. 18, 2019Quick and prompt. Gave me all the info I needed Read 4 more dealer reviews...Kingston, ON (2 km)(855) 939-1150Request InformationAuthorized Ford Dealer",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=303522729,21P41A,"67,954 kilometres","$9,995 ",Petrie Ford,"2011 Ford Taurus SEL - $9,995",null,1FAHP2EW3BG104974,Petrie Ford
1623649821-398,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=70,"Save this listing2018 Ford Explorer XLT AWDDescription: Used 2018 Ford Explorer XLT AWD for sale - $33,995 - 68,976 km with Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Parking Sensors, Android Auto, CarPlayCertified Pre-Owned: NoTransmission: AutomaticColour: Silver$33,995$656/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $33,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.68,976 kmFAIR DEAL$66 ABOVEDealer4.8(5)Guru9YK6FGMar. 4, 2021Good. Got the photos to meCarGurus UserDec. 10, 2020it wasn't Kingston but Napanee, but I had a great experience dealing with Paul and Silvio. 
they were very easy and pleasant to deal with. I am very happy with my RogueGuru27B1WApr. 10, 2020Excellent help with information. Prompt friendly.Read 2 more dealer reviews...Kingston, ON (3 km)(613) 704-8365Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=285950199,UCP2225,"68,976 kilometres","$33,995 ",Carloft Kingston,"2018 Ford Explorer XLT AWD - $33,995",null,1FM5K8D85JGC78024,Carloft Kingston
1623670050-1223,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=15,"Save this listing2017 Ford Fusion SEDescription: Used 2017 Ford Fusion SE for sale - $14,900 - 81,886 km with Alloy Wheels, Bluetooth, Backup CameraCertified Pre-Owned: NoTransmission: AutomaticColour: Dark Grey$14,900$288/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $14,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.81,886 kmFAIR DEAL$344 BELOWDealer5(6)Guru9XKQ3CMay 30, 2021They were very friendly and helpful.Guru9WM93FMar. 31, 2021Excellent experience with sales and management.   I didn't buy the car but they were very helpful.  I would definitely go there when I'm car shopping again.
BillwagarJan. 13, 2021Responded quicklyRead 3 more dealer reviews...Gananoque, ON (31 km)Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=298797557,210428B,"81,886 kilometres","$14,900 ",null,"2017 Ford Fusion SE - $14,900",Gananoque Chevrolet,3FA6P0H71HR192246,Gananoque Chevrolet
1623659292-809,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=43,"Save this listing2019 Toyota C-HR XLEDescription: Used 2019 Toyota C-HR XLE for sale - $21,995 - 44,896 km with Bluetooth, Backup Camera, Heated SeatsCertified Pre-Owned: NoTransmission: Continuously Variable TransmissionColour: Black$21,995$425/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $21,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.44,896 kmFAIR DEAL$156 ABOVEDealer4.3(7)CarGurus UserApr. 12, 2021Was niceGuru9Y2PF4Feb. 24, 2021I contacted the dealer and in my email I had questions 
regarding the vehicle and financing. I promptly 
received a reply addressing my concerns. He offered 
to contact me later that day but i took the opportunity 
to call him. He was extremely professional and 
knowledgeable. I was under no pressure at all. I highly 
recommend them. Guru993RRTOct. 29, 2020We contacted My Car Kingston when we located a vehicle of our interest and they promptly replied. Due to the 
Covid 19 situation at this time we were not able to go to Kingston and they quickly helped us get into contact 
with a My Car business close to us and have the car we were interested in brought to us.Read 4 more dealer reviews...Kingston, ON (0 km)(613) 777-1940Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=296870139,210159,"44,896 kilometres","$21,995 ",My Car Kingston,"2019 Toyota C-HR XLE - $21,995",null,JTNKHMBX1K1050076,My Car Kingston
1623645897-220,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=82,"Save this listing2019 Lincoln Nautilus Reserve AWDDescription: Used 2019 Lincoln Nautilus Reserve AWD for sale - $45,960 - 29,271 km with Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Technology Package, Blind Spot Monitoring, Parking Sensors, Heated Seats, Tow Package, Cold Weather Package, Bluetooth, Backup Camera, Remote StartCertified Pre-Owned: NoTransmission: 8-Speed AutomaticColour: White$45,960$887/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $45,960 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.29,271 kmFAIR DEAL$248 BELOWDealer3.9(18)Guru9VK2CLMay 10, 2021Fair and open very responsive CarGurus UserApr. 20, 2021Great to work with!CarGurus UserMar. 15, 2021ExcellentRead 15 more dealer reviews...Kingston, ON (4 km)Request InformationAuthorized Lincoln Dealer",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=303853659,21Q409,"29,271 kilometres","$45,960 ",null,"2019 Lincoln Nautilus Reserve AWD - $45,960",James Braden Ford,2LMPJ8L94KBL50656,James Braden Ford
1623642198-25,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=95,"Save this listing2019 Nissan Rogue SV AWDDescription: Used 2019 Nissan Rogue SV AWD for sale63,200 km with Adaptive Cruise Control, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlayCertified Pre-Owned: NoTransmission: AutomaticColour: BlackNo Price Listed63,200 kmNO PRICE ANALYSISDealer4.8(5)Guru9YK6FGMar. 4, 2021Good. Got the photos to meGuru27B1WApr. 10, 2020Excellent help with information. Prompt friendly.CarGurus UserMar. 19, 2020Yes! He followed in a timely manner, but the vehicle was sold! Read 2 more dealer reviews...Kingston, ON (3 km)(613) 704-8365Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=298034394,UCP2584,"63,200 kilometres",null,Carloft Kingston,2019 Nissan Rogue SV AWD,null,5N1AT2MV2KC720488,Carloft Kingston
1623649881-401,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=70,"Save this listing2019 Honda Accord 1.5T EX-L FWDDescription: Used 2019 Honda Accord 1.5T EX-L FWD for sale - $33,897 - 17,589 km with Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Heated SeatsCertified Pre-Owned: NoTransmission: Continuously Variable TransmissionColour: White$33,897$654/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $33,897 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.17,589 kmHIGH PRICE$4,446 ABOVEDealer4.3(9)CarGurus UserJun. 12, 2021Not very helpful, truck was sold yet still advertised. Asked if I could test drive another and they never got back to me.CarGurus UserMar. 17, 2021Great experience.  I bought the car.Guru9Z8RBSMar. 15, 2021Very professional great response. Read 6 more dealer reviews...Kingston, ON (4 km)Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=304755769,22929A,"17,589 kilometres","$33,897 ",null,"2019 Honda Accord 1.5T EX-L FWD - $33,897",Kingston Toyota,1HGCV1F55KA802436,Kingston Toyota
1623662226-927,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=35,"Save this listingNEW: Just added2019 Chevrolet Trax LT FWDDescription: Used 2019 Chevrolet Trax LT FWD for sale - $19,995 - 34,142 km with Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Android Auto, CarPlayCertified Pre-Owned: NoTransmission: AutomaticColour: CAJUN RED TINTCOAT$19,995$386/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $19,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.34,142 kmFAIR DEAL$90 BELOWDealer5(1)CarGurus UserMar. 17, 2020Really great dealership.  Very quick response to each email, and they answered each question.
They were very courteous.  I would recommend them to anyone looking for a new or used car.
Read all dealer reviews...Napanee, ON (33 km)(226) 702-2474Request InformationAuthorized Chevrolet Dealer",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=304747203,R1478A,"34,142 kilometres","$19,995 ",Boyer Chevrolet Buick GMC Napanee,"2019 Chevrolet Trax LT FWD - $19,995",null,3GNCJLSBXKL275088,Boyer Chevrolet Buick GMC Napanee
